
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 113, Train Loss: 0.003997285920195282, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.06486976348206576, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.579721581463249
Epoch 114, Train Loss: 0.003927940607536584, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.06328466080016215, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.48356010589498094
Epoch 115, Train Loss: 0.003850296011660248, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.061434725466035386, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5937144667116704
Epoch 116, Train Loss: 0.0038297205697745084, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.06206394356598967, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4244314917860642
Epoch 117, Train Loss: 0.0037670939113013447, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.059637586450465685, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4828839336517795
Epoch 118, Train Loss: 0.003812867763917893, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.06363346447286736, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5956732466099144
Epoch 119, Train Loss: 0.0036813131300732493, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.05961168235182705, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.47927144329221005
Epoch 120, Train Loss: 0.003704822692088783, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.061527448609478966, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5009757217788413
Epoch 121, Train Loss: 0.0037164033157750962, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.06254037615462953, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.42615729452411916
Epoch 122, Train Loss: 0.003677769436035305, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.06182949847710344, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.49464743448176085
Epoch 123, Train Loss: 0.003547173144761473, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.05896788994481618, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4348478680800088
Epoch 124, Train Loss: 0.0036053523537702857, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.060810964959339485, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5839909416744897
Epoch 125, Train Loss: 0.0035304087796248496, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.060358099420233534, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4349870593195364
Epoch 126, Train Loss: 0.0034519594628363848, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.0580214163825953, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5897367976076835
Epoch 127, Train Loss: 0.003450283349957317, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.05836183823093677, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5883095849732942
Epoch 128, Train Loss: 0.0034391824388876556, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.059455011585204054, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4880415556783301
Epoch 129, Train Loss: 0.003344963991548866, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.05615168500302028, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4672735967558732
Epoch 130, Train Loss: 0.0033417698927223683, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.056947237449026744, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4961618330091907
Epoch 131, Train Loss: 0.0032564135501161216, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.054471996674886836, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4389796365092682
Epoch 132, Train Loss: 0.003270879085175693, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.054771224029090945, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5014536118135491
Epoch 133, Train Loss: 0.0032531674834899603, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.05600624118911609, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5825753343605177
Epoch 134, Train Loss: 0.0031932958634570243, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.054679714952285144, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.48796701888216887
Epoch 135, Train Loss: 0.0031223711674101652, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.05219701121706104, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.44882828832676763
Epoch 136, Train Loss: 0.003107547026593238, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.052311274050266164, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4767151317644961
