
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 150, Train Loss: 0.013455869629979134, Train Iou: 0.3719164481696167, Validation IOU: 0.4135353340711204
Epoch 151, Train Loss: 0.013346102740615606, Train Iou: 0.37149411067823757, Validation IOU: 0.4683738577602614
Epoch 152, Train Loss: 0.013430363312363625, Train Iou: 0.3702848964233786, Validation IOU: 0.4167269605676199
Epoch 153, Train Loss: 0.013319248566403985, Train Iou: 0.3714602690699634, Validation IOU: 0.4502944391024096
Epoch 154, Train Loss: 0.013187443371862173, Train Iou: 0.3697143052642483, Validation IOU: 0.429352920023184
Epoch 155, Train Loss: 0.013055845210328699, Train Iou: 0.37178820385039524, Validation IOU: 0.4207412475326525
Epoch 156, Train Loss: 0.012888838024809956, Train Iou: 0.3665205756696531, Validation IOU: 0.33174021727383224
Epoch 157, Train Loss: 0.012935860455036164, Train Iou: 0.3674126144596782, Validation IOU: 0.3659646144214752
Epoch 158, Train Loss: 0.01286708195693791, Train Iou: 0.3633187938297283, Validation IOU: 0.41076565029389744
Epoch 159, Train Loss: 0.012823243485763669, Train Iou: 0.3666629322582568, Validation IOU: 0.4105200837309749
Epoch 160, Train Loss: 0.01308503090403974, Train Iou: 0.36768406754037875, Validation IOU: 0.3315977301670543
Epoch 161, Train Loss: 0.012824204936623573, Train Iou: 0.36834379074254314, Validation IOU: 0.4049073954779851
Epoch 162, Train Loss: 0.012821975443512202, Train Iou: 0.3653675297510496, Validation IOU: 0.38859196328190604
Epoch 163, Train Loss: 0.012676671706140041, Train Iou: 0.36340874295853637, Validation IOU: 0.3897699889041464
Epoch 164, Train Loss: 0.012581831915304065, Train Iou: 0.36746971287971536, Validation IOU: 0.4340533007496789
Epoch 165, Train Loss: 0.0126595844514668, Train Iou: 0.3672700730996638, Validation IOU: 0.3919737089049266
Epoch 166, Train Loss: 0.012583154859021306, Train Iou: 0.3636955856672054, Validation IOU: 0.44179549701088466
Epoch 167, Train Loss: 0.012664295732975006, Train Iou: 0.3651180112609417, Validation IOU: 0.4159724568194858
Epoch 168, Train Loss: 0.012780109327286482, Train Iou: 0.37038890001672325, Validation IOU: 0.40214286360900564
Epoch 169, Train Loss: 0.01252018827944994, Train Iou: 0.3667541324809907, Validation IOU: 0.39812434226776655
Epoch 170, Train Loss: 0.012444631941616536, Train Iou: 0.3667108867444431, Validation IOU: 0.30226692758540413
Model saved
Epoch 171, Train Loss: 0.012381661077961325, Train Iou: 0.3595146777616165, Validation IOU: 0.42877694219306134
Epoch 172, Train Loss: 0.012116144504398107, Train Iou: 0.36006766433491094, Validation IOU: 0.39332125053998235
Epoch 173, Train Loss: 0.012137610837817192, Train Iou: 0.35761275153762045, Validation IOU: 0.37928185467676856
Epoch 174, Train Loss: 0.01222119010053575, Train Iou: 0.3586741037632587, Validation IOU: 0.40704313565559674
Epoch 175, Train Loss: 0.012251047883182764, Train Iou: 0.3652383784906642, Validation IOU: 0.4205758857735541
Epoch 176, Train Loss: 0.012055768026039004, Train Iou: 0.3565286247550888, Validation IOU: 0.3289783971129543
Epoch 177, Train Loss: 0.012033136608079077, Train Iou: 0.36186415793650084, Validation IOU: 0.43921792836350293
Epoch 178, Train Loss: 0.012057962641119958, Train Iou: 0.3571874925725185, Validation IOU: 0.43716745745318203
Epoch 179, Train Loss: 0.012169418996199966, Train Iou: 0.36362683881690844, Validation IOU: 0.4051069749958588
Epoch 180, Train Loss: 0.012028467282652855, Train Iou: 0.3590509398762388, Validation IOU: 0.42253972422473024
Epoch 181, Train Loss: 0.01197631205432117, Train Iou: 0.35794544289167873, Validation IOU: 0.3873269509981785
Epoch 182, Train Loss: 0.011875823838636279, Train Iou: 0.3556383813639667, Validation IOU: 0.4347325164478567
Epoch 183, Train Loss: 0.01184366219677031, Train Iou: 0.35696240445788846, Validation IOU: 0.4064474776819026
Epoch 184, Train Loss: 0.01190295652486384, Train Iou: 0.35817204894162563, Validation IOU: 0.3997297123756729
Epoch 185, Train Loss: 0.011937451828271151, Train Iou: 0.35685383741585264, Validation IOU: 0.437340240238839
Epoch 186, Train Loss: 0.011710338992998004, Train Iou: 0.3583085309320201, Validation IOU: 0.38726287508899365
Epoch 187, Train Loss: 0.01168981585651636, Train Iou: 0.3536163398799444, Validation IOU: 0.4822227112106175
Epoch 188, Train Loss: 0.011731982044875622, Train Iou: 0.35616330924257217, Validation IOU: 0.48748440574066915
Epoch 189, Train Loss: 0.011842418741434813, Train Iou: 0.36011567541993167, Validation IOU: 0.38364923422329383
Epoch 190, Train Loss: 0.01165331811644137, Train Iou: 0.3569316303198421, Validation IOU: 0.4057384754956689
Epoch 191, Train Loss: 0.011590588977560401, Train Iou: 0.35183767781578046, Validation IOU: 0.4142994415878689
Epoch 192, Train Loss: 0.011530413385480642, Train Iou: 0.3541352460980915, Validation IOU: 0.3988543325555897
Epoch 193, Train Loss: 0.011588605679571628, Train Iou: 0.35614282460656776, Validation IOU: 0.40522689313028987
Epoch 194, Train Loss: 0.011593756545335055, Train Iou: 0.35632357022130334, Validation IOU: 0.3964154033669481
Epoch 195, Train Loss: 0.011500645335763693, Train Iou: 0.35469883800219904, Validation IOU: 0.3746802052162892
Epoch 196, Train Loss: 0.011475210869684815, Train Iou: 0.3520189316946439, Validation IOU: 0.4054151809845474
Epoch 197, Train Loss: 0.011369767971336842, Train Iou: 0.3517158979578397, Validation IOU: 0.36176671417952744
Epoch 198, Train Loss: 0.011358447792008518, Train Iou: 0.352479745493657, Validation IOU: 0.40950078190541467
Epoch 199, Train Loss: 0.011513983132317662, Train Iou: 0.3528784159183219, Validation IOU: 0.4786463680793892
Epoch 200, Train Loss: 0.011435293313115834, Train Iou: 0.3531631794741402, Validation IOU: 0.41327650576944774
Epoch 201, Train Loss: 0.011384130222722888, Train Iou: 0.35375829662608826, Validation IOU: 0.4439254605655719
Epoch 202, Train Loss: 0.011274996446445584, Train Iou: 0.3511855496093423, Validation IOU: 0.3824432957414725
Epoch 203, Train Loss: 0.011355837946757675, Train Iou: 0.3506994006123878, Validation IOU: 0.4049225687767103
Epoch 204, Train Loss: 0.011337209679186343, Train Iou: 0.3495099689112483, Validation IOU: 0.452161822537371
Epoch 205, Train Loss: 0.011158754210919141, Train Iou: 0.34854137286106485, Validation IOU: 0.41319428900627575
Epoch 206, Train Loss: 0.011259435815736652, Train Iou: 0.35165291106197394, Validation IOU: 0.3370444358382421
Epoch 207, Train Loss: 0.011109791230410337, Train Iou: 0.35108663930837564, Validation IOU: 0.4416688641081822
Epoch 208, Train Loss: 0.010988207720220088, Train Iou: 0.34328276694153054, Validation IOU: 0.31405598465338724
Epoch 209, Train Loss: 0.01104719890281558, Train Iou: 0.3490934186286633, Validation IOU: 0.3134301936948565
Epoch 210, Train Loss: 0.01099832970649004, Train Iou: 0.3458685505251127, Validation IOU: 0.4264139283807361
Epoch 211, Train Loss: 0.011167892254889011, Train Iou: 0.3509453486159618, Validation IOU: 0.4331348133859719
Epoch 212, Train Loss: 0.011097010364755988, Train Iou: 0.3503279849368303, Validation IOU: 0.32855485579530097
Epoch 213, Train Loss: 0.010905159683898092, Train Iou: 0.3428190748274589, Validation IOU: 0.46225294897418895
Epoch 214, Train Loss: 0.010996575932949781, Train Iou: 0.34687603340702466, Validation IOU: 0.4050994501443591
Epoch 215, Train Loss: 0.010958942538127302, Train Iou: 0.34736579070188156, Validation IOU: 0.3275420293555463
Epoch 216, Train Loss: 0.01089978045783937, Train Iou: 0.34345659791320104, Validation IOU: 0.3689032622280597
Epoch 217, Train Loss: 0.010841120826080441, Train Iou: 0.3395736371027679, Validation IOU: 0.4408523235327138
Epoch 218, Train Loss: 0.010856325225904583, Train Iou: 0.3419401861663499, Validation IOU: 0.32588268174407736
Epoch 219, Train Loss: 0.010837644757702946, Train Iou: 0.34669367730856904, Validation IOU: 0.4114526969041169
Epoch 220, Train Loss: 0.010901556070894002, Train Iou: 0.3478847958886061, Validation IOU: 0.4816837149533086
Epoch 221, Train Loss: 0.01078089764341712, Train Iou: 0.3399807364130777, Validation IOU: 0.37631336991501035
Epoch 222, Train Loss: 0.01081009372137487, Train Iou: 0.33976052924428646, Validation IOU: 0.4053554558333684
Epoch 223, Train Loss: 0.010715226735919714, Train Iou: 0.3413586761454014, Validation IOU: 0.4478984526904266
Epoch 224, Train Loss: 0.010703909257426859, Train Iou: 0.34200557874067666, Validation IOU: 0.3188018942580737
Epoch 225, Train Loss: 0.010728832241147757, Train Iou: 0.3411746553744974, Validation IOU: 0.43189805969798617
Epoch 226, Train Loss: 0.010826044855639339, Train Iou: 0.3455782963506614, Validation IOU: 0.3288295556382236
Epoch 227, Train Loss: 0.010879322327673436, Train Iou: 0.3468150839237853, Validation IOU: 0.3547510110025058
