
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 76, Train Loss: 0.014778721705079078, Train Iou: 0.08127949137319641, Validation Loss: 0.09925227984786034, Validation IOU: 0.3033487144334442
Epoch 77, Train Loss: 0.014805813413113355, Train Iou: 0.08391489385062442, Validation Loss: 0.0912007037550211, Validation IOU: 0.277800391279621
Epoch 78, Train Loss: 0.01448074826039374, Train Iou: 0.08125577018138544, Validation Loss: 0.271068811416626, Validation IOU: 0.3052424737192371
Epoch 79, Train Loss: 0.014135225722566248, Train Iou: 0.08130370847374464, Validation Loss: 0.15031398087739944, Validation IOU: 0.31812846027073777
Epoch 80, Train Loss: 0.0136905568651855, Train Iou: 0.07884846923917636, Validation Loss: 0.10987606644630432, Validation IOU: 0.2766627044230221
Epoch 81, Train Loss: 0.01342668691650033, Train Iou: 0.07732766194741195, Validation Loss: 0.10672997310757637, Validation IOU: 0.2714007195768497
Epoch 82, Train Loss: 0.013366937683895231, Train Iou: 0.077870310509779, Validation Loss: 0.09321536682546139, Validation IOU: 0.2434806885003653
Epoch 83, Train Loss: 0.013061410514637828, Train Iou: 0.07743050753439536, Validation Loss: 0.15858644992113113, Validation IOU: 0.30930172981841714
Epoch 84, Train Loss: 0.012814654782414437, Train Iou: 0.07581007347781935, Validation Loss: 0.10594587028026581, Validation IOU: 0.3043203628806856
Epoch 85, Train Loss: 0.012600141996517777, Train Iou: 0.07590825204564489, Validation Loss: 0.17444837093353271, Validation IOU: 0.31173566032711586
Epoch 86, Train Loss: 0.012793107237666846, Train Iou: 0.079097284183552, Validation Loss: 0.12980910763144493, Validation IOU: 0.307986264075472
Epoch 87, Train Loss: 0.012555498396977782, Train Iou: 0.08049655906159985, Validation Loss: 0.288909450173378, Validation IOU: 0.30114514828983685
Epoch 88, Train Loss: 0.012258377112448215, Train Iou: 0.07838225855189165, Validation Loss: 0.09034868981689215, Validation IOU: 0.260713303531026
Epoch 89, Train Loss: 0.011990953702479601, Train Iou: 0.07616889314462978, Validation Loss: 0.18107543885707855, Validation IOU: 0.3116738524228605
Epoch 90, Train Loss: 0.012093449849635363, Train Iou: 0.08037558047333422, Validation Loss: 0.10113188996911049, Validation IOU: 0.28109114607221813
Epoch 91, Train Loss: 0.011630827700719238, Train Iou: 0.07566168079631197, Validation Loss: 0.09219805523753166, Validation IOU: 0.2787616561641517
Epoch 92, Train Loss: 0.011369530111551285, Train Iou: 0.07381622833241856, Validation Loss: 0.103457722812891, Validation IOU: 0.27953777682678665
Epoch 93, Train Loss: 0.011147682834416629, Train Iou: 0.07157618431490617, Validation Loss: 0.14395951479673386, Validation IOU: 0.35931447126718385
Epoch 94, Train Loss: 0.010897348914295436, Train Iou: 0.0691397832792415, Validation Loss: 0.29345913976430893, Validation IOU: 0.30787840414909184
Epoch 95, Train Loss: 0.010625432990491391, Train Iou: 0.06918389217948859, Validation Loss: 0.13855892419815063, Validation IOU: 0.3130224119363496
Epoch 96, Train Loss: 0.010457386216148733, Train Iou: 0.0679879420011229, Validation Loss: 0.1202283687889576, Validation IOU: 0.3545018322802533
Epoch 97, Train Loss: 0.010455075511708855, Train Iou: 0.06873082491916818, Validation Loss: 0.14271779358386993, Validation IOU: 0.2853739197161893
Epoch 98, Train Loss: 0.010158802755177021, Train Iou: 0.06796177416368288, Validation Loss: 0.12096824124455452, Validation IOU: 0.32657928687131754
Epoch 99, Train Loss: 0.010009090881794691, Train Iou: 0.06708556684841512, Validation Loss: 0.13052445650100708, Validation IOU: 0.3246227008491742
Epoch 100, Train Loss: 0.01001744163222611, Train Iou: 0.06665414485328794, Validation Loss: 0.12630531564354897, Validation IOU: 0.27432545635314554
Epoch 101, Train Loss: 0.009932058304548264, Train Iou: 0.06831464578366882, Validation Loss: 0.1874694973230362, Validation IOU: 0.31218428015325583
Epoch 102, Train Loss: 0.009990225546061993, Train Iou: 0.07016034034298609, Validation Loss: 0.12528062984347343, Validation IOU: 0.3280454708304029
Epoch 103, Train Loss: 0.009642575448378921, Train Iou: 0.0674040397354236, Validation Loss: 0.13364029675722122, Validation IOU: 0.281931172929063
Epoch 104, Train Loss: 0.009242347814142704, Train Iou: 0.06359413425634504, Validation Loss: 0.16018930822610855, Validation IOU: 0.32101190186142237
Epoch 105, Train Loss: 0.009129883581772446, Train Iou: 0.06117930777422946, Validation Loss: 0.13583481311798096, Validation IOU: 0.2829915091313655
Epoch 106, Train Loss: 0.009027224755845964, Train Iou: 0.06319396056710277, Validation Loss: 0.120446115732193, Validation IOU: 0.27584321718650395
Epoch 107, Train Loss: 0.009095479594543576, Train Iou: 0.06405701042414717, Validation Loss: 0.15424612909555435, Validation IOU: 0.2827958850074748
Epoch 108, Train Loss: 0.008775950293056667, Train Iou: 0.0612543814340891, Validation Loss: 0.08920194860547781, Validation IOU: 0.2546651787625636
Epoch 109, Train Loss: 0.008739190874621272, Train Iou: 0.06269548776142175, Validation Loss: 0.15760663896799088, Validation IOU: 0.36039461046487486
Epoch 110, Train Loss: 0.00866352217271924, Train Iou: 0.06199983409373735, Validation Loss: 0.16881944984197617, Validation IOU: 0.299886920907638
Epoch 111, Train Loss: 0.008626583334989845, Train Iou: 0.06183447513871656, Validation Loss: 0.12517749518156052, Validation IOU: 0.3274970299163323
Epoch 112, Train Loss: 0.008620433136820793, Train Iou: 0.063862965916382, Validation Loss: 0.1032628882676363, Validation IOU: 0.2530165430704088
Epoch 113, Train Loss: 0.008344506798312067, Train Iou: 0.06036763098832125, Validation Loss: 0.3182109072804451, Validation IOU: 0.30783632516112125
Epoch 114, Train Loss: 0.00822257751133293, Train Iou: 0.059598313532862046, Validation Loss: 0.09594640973955393, Validation IOU: 0.25221813585635405
Epoch 115, Train Loss: 0.008002125960774719, Train Iou: 0.05804919855314592, Validation Loss: 0.10457146167755127, Validation IOU: 0.2557658276795884
Epoch 116, Train Loss: 0.00812709480524063, Train Iou: 0.06081240526172225, Validation Loss: 0.12580449134111404, Validation IOU: 0.3628962097695899
Epoch 117, Train Loss: 0.007928548450581729, Train Iou: 0.05862391092485726, Validation Loss: 0.12283644825220108, Validation IOU: 0.3150101264737172
Epoch 118, Train Loss: 0.007760484120808542, Train Iou: 0.05798470059231002, Validation Loss: 0.11925690993666649, Validation IOU: 0.26752899322181495
Epoch 119, Train Loss: 0.007790973060764372, Train Iou: 0.05896639038466456, Validation Loss: 0.14910189807415009, Validation IOU: 0.3148226143732405
Epoch 120, Train Loss: 0.007675525918602944, Train Iou: 0.059197634388607256, Validation Loss: 0.11501546949148178, Validation IOU: 0.2657480005334268
Epoch 121, Train Loss: 0.007673165271990001, Train Iou: 0.056787586001800984, Validation Loss: 0.1585606187582016, Validation IOU: 0.28463864569614344
Epoch 122, Train Loss: 0.00751047448720783, Train Iou: 0.058134995747253226, Validation Loss: 0.15988056361675262, Validation IOU: 0.2834028515018329
Epoch 123, Train Loss: 0.007372605730779469, Train Iou: 0.0560435652829945, Validation Loss: 0.12896277382969856, Validation IOU: 0.3577085004704863
Epoch 124, Train Loss: 0.007349054934456945, Train Iou: 0.05703480316973834, Validation Loss: 0.09820267092436552, Validation IOU: 0.24947805307700138
Epoch 125, Train Loss: 0.007174883922562003, Train Iou: 0.055472102134884606, Validation Loss: 0.3415638580918312, Validation IOU: 0.3093650738126795
Epoch 126, Train Loss: 0.007370056514628231, Train Iou: 0.057819468877091884, Validation Loss: 0.11084678396582603, Validation IOU: 0.2591885746087412
Epoch 127, Train Loss: 0.007098929025232792, Train Iou: 0.05474685573453257, Validation Loss: 0.34930499643087387, Validation IOU: 0.3057723119494187
Epoch 128, Train Loss: 0.007083892985247075, Train Iou: 0.05504314195322872, Validation Loss: 0.1449153870344162, Validation IOU: 0.31034918136218037
Epoch 129, Train Loss: 0.006981907435692847, Train Iou: 0.054091995245494906, Validation Loss: 0.13679445907473564, Validation IOU: 0.319364306828992
