
/home/nitro/Studia/Praca Dyplomowa/noisy_labels/Dataset/SegSperm/train
/home/nitro/Studia/Praca Dyplomowa/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3070 Laptop GPU
Epoch 90, Train Loss: 0.5551931605570846, Validation Loss: 0.5669648945331573, Validation IOU: 0.6417081756037736
Epoch 91, Train Loss: 0.5551986388034291, Validation Loss: 0.5672900900244713, Validation IOU: 0.6422540359280069
Epoch 92, Train Loss: 0.5551950948105918, Validation Loss: 0.5675882324576378, Validation IOU: 0.6480757309830827
Epoch 93, Train Loss: 0.5551940976745553, Validation Loss: 0.5676599815487862, Validation IOU: 0.6347076709318994
Epoch 94, Train Loss: 0.5551927209728293, Validation Loss: 0.5678789243102074, Validation IOU: 0.6420078527830633
Epoch 95, Train Loss: 0.5551883847349219, Validation Loss: 0.5677924454212189, Validation IOU: 0.6382221544141348
Epoch 96, Train Loss: 0.5551881740490595, Validation Loss: 0.5673111230134964, Validation IOU: 0.6443350310976949
Epoch 97, Train Loss: 0.5551956238018142, Validation Loss: 0.5676227360963821, Validation IOU: 0.6481928283019824
Epoch 98, Train Loss: 0.5551859935124716, Validation Loss: 0.5678434073925018, Validation IOU: 0.6448864471554946
Epoch 99, Train Loss: 0.5551890213456419, Validation Loss: 0.5682166442275047, Validation IOU: 0.6447812721267867
Epoch 100, Train Loss: 0.555190820660856, Validation Loss: 0.5674113556742668, Validation IOU: 0.6457012408719085
